ID_BB_COMPANY,LONG_COMP_NAME,ID_BB_PARENT_CO,LONG_PARENT_COMP_NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,CNTRY_OF_DOMICILE,CNTRY_OF_INCORPORATION,CNTRY_OF_RISK,STATE_OF_DOMICILE,STATE_OF_INCORPORATION,COMPANY_ADDRESS,IS_ULT_PARENT,OBLIG_INDUSTRY_SUBGROUP,ACQUIRED_BY_PARENT,COMPANY_TO_PARENT_RELATIONSHIP,ISSUER_NAME_TYPES,ID_BB_ULTIMATE_PARENT_CO,LONG_ULT_PARENT_COMP_NAME,COMPANY_CORP_TICKER,ULT_PARENT_CNTRY_OF_RISK,ULT_PARENT_TICKER_EXCHANGE,ULT_PARENT_CNTRY_INCORPORATION,ULT_PARENT_CNTRY_DOMICILE,INDUSTRY_SUBGROUP_NUM,COMPANY_LEGAL_NAME,OBLIGOR_BBID,ID_BB_GLOBAL_COMPANY,ID_BB_GLOBAL_PARENT_CO,ID_BB_GLOBAL_ULTIMATE_PARENT_CO,ID_BB_GLOBAL_OBLIGOR_COMPANY,ID_BB_GLOBAL_COMPANY_NAME,ID_BB_GLOBAL_PARENT_COMPANY_NAME,ID_BB_GLOBAL_ULT_PARENT_CO_NAME,ID_BB_GLOBAL_OBLIGOR_NAME,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP_NUM,LEGAL_ENTITY_IDENTIFIER,LEI_ENTITY_STATUS,LEI_LEGAL_FORM,LEI_ASSIGNED_DATE,LEI_LAST_UPDATE,LEI_DISABLED_DATE,LEI_REGISTRATION_ADDRESS,LEI_RECORD_STATE,LEI_MAINTENANCE_STATE,LEI_NEXT_MAINTENANCE_DATE,PARENT_OBLIGOR_ID,PARENT_OBLIGOR_NAME,COUNTRY_RISK_ISO_CODE,ID_REPLACEMENT_IDENTIFIER,COMPANY_WEB_ADDRESS,COMPANY_IS_PRIVATE,ULT_PARENT_CORP_TICKER,LEI_NAME,LEI_ULTIMATE_PARENT_COMPANY,COMPANY_FAX_NUMBER,COMPANY_TEL_NUMBER,ALTERNATE_COMPANY_NAME,PREVIOUS_COMPANY_NAMES,OTHER_LEI_NAME,MANAGING_LOCAL_OPER_UNIT_NAME,MANAGING_LOCAL_OPER_UNIT_LEI,LEI_VALIDATION_SOURCES,ULTIMATE_OBLIGOR_ID,ULTIMATE_OBLIGOR_NAME,ISO_COUNTRY_OF_OBLIGOR,SYNTHETIC_ENTITY_INDICATOR,ISSUER_BBID,COMPANY_STATUS
40992498,Innovaciones Salonica Ocho SLU,, , , , ,ES,ES,ES,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,, ,,BBG006NV76F5,N.A.,N.A.,N.A.,Innovaciones Salonica Ocho SLU,N.A.,N.A.,N.A.,,,95980020140005701449,ACTIVE,Sociedad de Responsablidad Limitada,20140318,20200123,N.A.,";2;3;1;1;Paseo de La Castellana 91 11;1;Madrid, 28046;1;ES;",ISSUED, ,20210123,, ,ES, ,N.A.,Y,N.A.,"INNOVACIONES SALONICA OCHO, S.L.",N.A., , ,N.A.,N.A., ,"COLEGIO DE REGISTRADORES DE LA PROPIEDAD, MERCANTILES Y BIENES MUEBLES DE ESPANA",959800R2X69K6Y6MX775,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
40854937,HSBC Global Investment Funds - Global Equity Volatility Focused Fund,8095778.0,HSBC Global Investment Funds SA/Luxembourg,N.A.,N.A.,N.A.,LU,LU, ,N.A.,N.A.,;2;6;1;1; ;1; ;1; ;1; ;1; ;1; ;,N,Income Equity,N,Fund Entity,Funds,111759.0,HSBC Holdings PLC, ,GB,HSBA LN,GB,GB,, ,,BBG006N4PPM5,BBG001H303Q7,BBG001FW5RD1,N.A.,HSBC Global Investment Funds - Global Equity Volatility Focused Fund,HSBC Global Investment Funds S,HSBC Holdings PLC,N.A.,,,213800OZ6LJJO7E73678,ACTIVE,SUB-FUND,20140613,20190412,N.A.,";2;3;1;1;16, BOULEVARD D'AVRANCHES;1;LUXEMBOURG CITY, LU-LU 1160;1;LU;",ISSUED, ,20200531,, , , ,N.A., ,HSBC,HSBC GLOBAL INVESTMENT FUNDS - GLOBAL EQUITY VOLATILITY FOCUSED,MLU0ZO3ML4LN2LL2TL39, , ,N.A.,N.A., ,LONDON STOCK EXCHANGE LEI LIMITED,213800WAVVOPS85N2205,FULLY_CORROBORATED,, ,N.A.,N, , 
22829301,Pfluger Koperty Sp zoo,, ,Basic Materials,Forest Products&Paper,Paper&Related Products,PL,PL,PL,N.A.,N.A.,;2;6;1;1;Ulica Zavila 56;1; ;1;Krakow;1; ;1;30-390;1;Poland;,N.A.,Paper&Related Products,N, ,Company,, , , , , , ,9.0,Pfluger Koperty Spolka Z Ograniczona Odpowiedzialnoscia,,BBG001GL5NL4,N.A.,N.A.,N.A.,Pfluger Koperty Sp zoo,N.A.,N.A.,N.A.,10002.0,20011.0,5493001DF78GOHPQ0S71,ACTIVE,spolki z ograniczona odpowiedzialnoscia,20150130,20191008,N.A.,";2;3;1;1;ZAWILA 56;1;KRAKOW, PL-12 30-390;1;PL;",ISSUED, ,20201007,, ,PL, ,www.pflueger-lober.com,Y,N.A.,PFLUGER KOPERTY SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,N.A.,48-12-252-02-02,48-12-252-02-00,N.A.,N.A., ,Business Entity Data B.V.,EVK05KS7XY1DEII3R011,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
58754460,Konsultointi-Kapaset Oy,, , , , ,FI,FI,FI,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,,Konsultointi-Kapaset Oy,,BBG00JSDMV24,N.A.,N.A.,N.A.,Konsultointi-Kapaset Oy,N.A.,N.A.,N.A.,,,743700VOLH1XRD4ATE28,ACTIVE, ,20180117,20200117,N.A.,";2;4;1;1;Hietalahdenranta 19 B 20;1;00180 HELSINKI;1;HELSINKI, FI-00180;1;FI;",ISSUED, ,20210117,, ,FI, ,N.A.,Y,N.A.,Konsultointi-Kapaset Oy,N.A., , ,N.A.,N.A., ,Patentti- ja Rekisterihallitus,743700OO8O2N3TQKJC81,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
31464993,AB Johnston & Co,, ,"Consumer, Non-cyclical",Agriculture,Pastoral&Agricultural,AU,AU,AU,WA,N.A., ,N.A.,Pastoral&Agricultural,N, ,Company,, , , , , , ,79.0, ,,BBG00330QHN8,N.A.,N.A.,N.A.,AB Johnston & Co,N.A.,N.A.,N.A.,10005.0,20035.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,AU, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
31082460,Inertia Engineering & Machine Works Inc,, ,Industrial,Electronics,Circuit Boards,US,US,US,CA,N.A., ,N.A.,Circuit Boards,N, ,Company,, , , , , , ,415.0, ,,BBG002ZZ19L5,N.A.,N.A.,N.A.,Inertia Engineering & Machine Works Inc,N.A.,N.A.,N.A.,10011.0,20081.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,US, ,www.inertiaworks.com,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
53277872,CH Holdings Ltd,, , , , ,JE,JE,JE,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,, ,,BBG00G9C6QJ4,N.A.,N.A.,N.A.,CH Holdings Ltd,N.A.,N.A.,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,JE, ,N.A.,Y,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
59089816,Barendrecht Trio BV,, , , , ,NL,NL,NL,N.A.,N.A., ,N.A., ,N, ,Company,, , , , , , ,,Barendrecht Trio B.V.,,BBG00K182PQ0,N.A.,N.A.,N.A.,Barendrecht Trio BV,N.A.,N.A.,N.A.,,,724500SGEUI4JF6WAM10,ACTIVE,Besloten vennootschap met beperkte aansprakelijkheid,20180207,20200207,N.A.,";2;3;1;1;Normalaan 12;1;Nieuwegein, 3438EP;1;NL;",ISSUED, ,20210207,, ,NL, ,N.A.,Y,N.A.,Barendrecht Trio B.V.,N.A., , ,N.A.,N.A., ,Kamer van Koophandel,724500A93Z8V1MJK5349,FULLY_CORROBORATED,, ,N.A.,N, ,PRIV
38766650,Rattha Somerset Greenways Chennai Pvt Ltd,7024588.0,CapitaLand Ltd,Financial,Real Estate,Real Estate Oper/Develop,SG,SG,SG,N.A.,N.A., ,N,Real Estate Oper/Develop,N,Subsidiary,Company,191086.0,Republic of Singapore, ,SG,1545Z SP,SG,SG,672.0, ,,BBG005XF4NW8,BBG001G7BC05,BBG001FHV2R5,N.A.,Rattha Somerset Greenways Chennai Pvt Ltd,CapitaLand Ltd,Republic of Singapore,N.A.,10008.0,20058.0,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7024588.0,CapitaLand Ltd,N.A., ,N.A.,Y,N.A.,N.A.,549300ZSV6VOGFH1ER70, , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,N, ,PRIV
29618446,Polo Capital Gestao de Recursos Ltda/Brazil,11062625.0,Polo Capital Gestao de Recursos Ltda, , , ,BR,BR, ,N.A.,N.A., ,N, ,N, ,FundMgr,11062625.0,Polo Capital Gestao de Recursos Ltda, ,BR,0208654Z BZ,BR,BR,, ,,BBG002QTL839,BBG001FMHHM2,BBG001FMHHM2,N.A.,Polo Capital Gestao de Recursos Ltda/Brazil,Polo Capital Gestao de Recurso,Polo Capital Gestao de Recurso,N.A.,,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, , , ,www.polocapital.com, ,N.A.,N.A.,N.A., , ,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,, ,N.A.,Y, , 
